,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
4125,4.64,2.0,2.0,Townhouse,261,Lake View,41.94535,-87.65923,Entire home/apt,53,2.32,$100 - $300
4126,4.84,2.0,2.0,Rental,999,Near North Side,41.90172,-87.62712,Entire home/apt,0,1.59,>$300
4127,4.84,1.0,1.0,Rental,115,Near North Side,41.8925035,-87.61628259999999,Entire home/apt,1,0.24,$100 - $300
4128,4.91,4.0,5.0,Home,700,Logan Square,41.91625,-87.6904,Entire home/apt,23,1.27,>$300
4129,5.0,2.0,1.0,Condo,178,Hyde Park,41.79684,-87.60141,Entire home/apt,8,0.36,$100 - $300
4130,4.84,1.0,1.0,Rental,178,Near North Side,41.891468,-87.614749,Entire home/apt,1,0.06,$100 - $300
4131,4.84,1.0,1.0,Rental,129,Near West Side,41.876299,-87.6537208,Entire home/apt,0,1.59,$100 - $300
4132,4.84,2.0,2.0,Rental,146,Lake View,41.944664,-87.656851,Entire home/apt,0,1.59,$100 - $300
4133,4.84,1.0,1.0,Rental,104,Near West Side,41.8746756,-87.6745347,Entire home/apt,1,0.05,$100 - $300
4134,4.13,1.0,1.0,Rental,144,Hyde Park,41.79897,-87.5853,Entire home/apt,24,1.05,$100 - $300
4135,4.3,3.0,1.0,Rental,152,West Town,41.90173,-87.68055,Entire home/apt,46,1.99,$100 - $300
4136,4.91,2.0,2.0,Rental,262,Loop,41.87035,-87.62779,Entire home/apt,109,4.62,$100 - $300
4137,4.39,2.0,1.0,Rental,151,Hyde Park,41.79997,-87.59133,Entire home/apt,44,1.9,$100 - $300
4138,4.06,1.0,1.0,Rental,132,Hyde Park,41.79876,-87.58524,Entire home/apt,32,1.54,$100 - $300
4139,4.84,1.0,5.0,Home,35,South Shore,41.75534,-87.56679,Private room,0,1.59,<$100
4140,4.05,1.0,0.0,Rental,45,Brighton Park,41.82151,-87.69637,Private room,20,0.86,<$100
4141,4.84,1.0,1.0,Rental,147,Near West Side,41.8746756,-87.6745347,Entire home/apt,0,1.59,$100 - $300
4142,4.59,4.0,3.0,Home,427,West Town,41.89659,-87.69515,Entire home/apt,32,1.39,>$300
4143,4.45,1.0,3.0,Home,88,South Lawndale,41.85226,-87.70887,Private room,29,1.23,<$100
4144,4.67,1.0,3.0,Home,100,North Lawndale,41.85413,-87.70893,Private room,39,1.79,$100 - $300
4145,4.67,1.0,3.0,Home,121,South Lawndale,41.85245,-87.70703,Private room,33,1.39,$100 - $300
4146,4.84,1.0,1.0,Rental,135,Near West Side,41.8746756,-87.6745347,Entire home/apt,2,0.1,$100 - $300
4147,4.84,1.0,1.0,Rental,140,Near West Side,41.8763,-87.65371999999999,Entire home/apt,0,1.59,$100 - $300
4148,4.84,2.0,1.0,Rental,183,Near West Side,41.8746756,-87.6745347,Entire home/apt,0,1.59,$100 - $300
4149,4.84,1.0,1.0,Rental,127,Near West Side,41.8746756,-87.6745347,Entire home/apt,0,1.59,$100 - $300
4150,4.2,1.0,3.0,Home,85,South Lawndale,41.85233,-87.70762,Private room,20,0.85,<$100
4151,5.0,1.0,1.0,Condo,79,Near North Side,41.90255,-87.63498,Entire home/apt,5,0.23,<$100
4152,5.0,1.0,1.0,Condo,136,Lake View,41.94146,-87.65516,Private room,26,2.76,$100 - $300
4154,4.5,1.0,1.0,Condo,80,Douglas,41.84063,-87.62168,Entire home/apt,4,0.18,<$100
4155,4.84,1.0,1.0,Rental,104,Loop,41.8811213,-87.63199550000002,Entire home/apt,2,0.09,$100 - $300
4156,4.84,3.0,5.0,Townhouse,751,Lower West Side,41.85986,-87.64495,Entire home/apt,1,0.37,>$300
4157,4.51,1.0,3.0,Home,84,South Lawndale,41.85267,-87.70679,Private room,37,1.61,<$100
